time,amplitude,phase,k,r2
1948-01-01T00:00:00Z,7.92285340890839,1.0810501407208,3,0.00913061920516659
1948-01-02T00:00:00Z,7.31458456550923,1.21354212365097,3,0.00653328974948785
1948-01-03T00:00:00Z,10.2622231076671,1.01732623180397,3,0.00977917380296572
1948-01-04T00:00:00Z,17.5428414293393,0.854027630043589,3,0.0281919329701958
1948-01-05T00:00:00Z,19.2685116011043,0.863163642649234,3,0.0415923919817905
1948-01-06T00:00:00Z,19.2375644456991,0.827162035040382,3,0.0485916193376632
1948-01-07T00:00:00Z,30.8482245894693,0.696150166887132,3,0.120664815255791
1948-01-08T00:00:00Z,41.138607030142,0.714151334341368,3,0.202961647396903
1948-01-09T00:00:00Z,41.2216222986042,0.778573773119827,3,0.298243124744623
1948-01-10T00:00:00Z,31.3529436515687,0.85382256461574,3,0.23023185915207
1948-01-11T00:00:00Z,18.0849482539483,0.894223264973858,3,0.100233903852941
1948-01-12T00:00:00Z,9.78019862706871,0.738648089889726,3,0.0421335287788218
1948-01-13T00:00:00Z,12.1641757845226,0.664393394776052,3,0.074009627694865
1948-01-14T00:00:00Z,7.35682163624003,0.87829505620603,3,0.0280335535141703
1948-01-15T00:00:00Z,7.67889652029371,1.51470241814174,3,0.0249619045830012
1948-01-16T00:00:00Z,5.74689334539012,1.39998178656737,3,0.0178799253498733
1948-01-17T00:00:00Z,19.8277184180419,1.28901878228048,3,0.165405795619494
1948-01-18T00:00:00Z,28.0389115025353,1.45411348243042,3,0.206943447324427
1948-01-19T00:00:00Z,29.1718546144321,1.52301228859157,3,0.166996529480326
1948-01-20T00:00:00Z,27.0408087258459,1.51849091664251,3,0.0687911081807826
1948-01-21T00:00:00Z,18.0069319118086,1.51099264530083,3,0.0251596539446152
1948-01-22T00:00:00Z,12.3892844429122,1.36711737382083,3,0.016438263243258
1948-01-23T00:00:00Z,2.89834958326799,1.17287188366054,3,0.00115745288733467
1948-01-24T00:00:00Z,14.3096029043746,0.53940170584925,3,0.0236600160198632
1948-01-25T00:00:00Z,22.3520021468362,0.54612000711742,3,0.0411719387028539
1948-01-26T00:00:00Z,10.0216164147192,0.593025709928502,3,0.00690283647600094
1948-01-27T00:00:00Z,11.5746979441048,1.67949342403867,3,0.00816934775851289
1948-01-28T00:00:00Z,26.3036188496573,1.70471211529651,3,0.0487884988373232
1948-01-29T00:00:00Z,14.2713872487806,1.88214487355151,3,0.0151718253441063
1948-01-30T00:00:00Z,13.6154653912381,0.737275861264553,3,0.0138246208555063
1948-01-31T00:00:00Z,22.1104840090373,0.993783677718343,3,0.0520741752972988
1948-02-01T00:00:00Z,20.2841646407451,1.18766906392694,3,0.0599352912166681
1948-02-02T00:00:00Z,8.61654436992443,1.27818533157691,3,0.010861266070245
1948-02-03T00:00:00Z,4.07108422351806,0.469271357730797,3,0.00237160974809379
1948-02-04T00:00:00Z,7.12309720844578,0.560683418789853,3,0.00959182698914392
1948-02-05T00:00:00Z,2.62744930320986,1.56582433150837,3,0.00258757946772446
1948-02-06T00:00:00Z,8.50856441668046,1.72232611185223,3,0.0503161713167332
1948-02-07T00:00:00Z,7.12214574199333,1.51644697266915,3,0.0113608457629172
1948-02-08T00:00:00Z,4.97216687345035,0.996476403635393,3,0.00289647746735097
1948-02-09T00:00:00Z,22.5958290296062,0.82210471462002,3,0.0552426678587284
1948-02-10T00:00:00Z,31.1482116936284,0.919917297614258,3,0.0980899913781928
1948-02-11T00:00:00Z,29.8954253942457,0.955517285781702,3,0.098297346944791
1948-02-12T00:00:00Z,25.6310501971374,1.10063042072405,3,0.101422129004503
1948-02-13T00:00:00Z,22.3806007482444,1.25926801592867,3,0.0865124777477492
1948-02-14T00:00:00Z,23.6736466979379,1.13787124908388,3,0.0749179583371533
1948-02-15T00:00:00Z,26.1664416193166,1.08819988984185,3,0.0523056362981396
1948-02-16T00:00:00Z,22.9817274376944,1.10654148647908,3,0.0272993682775644
1948-02-17T00:00:00Z,19.7828431334886,1.13152329570549,3,0.0193767424228
1948-02-18T00:00:00Z,18.576502484861,1.19596830764902,3,0.0227233819489498
1948-02-19T00:00:00Z,15.6123922143706,1.21379922277274,3,0.0261388579763754
1948-02-20T00:00:00Z,11.809652954462,0.992712128956142,3,0.0199111520999407
1948-02-21T00:00:00Z,7.32779211064921,0.674501292208915,3,0.00550662240831868
1948-02-22T00:00:00Z,1.17333473814078,1.34011267195598,3,0.000113018922019054
1948-02-23T00:00:00Z,21.0745410308552,1.62257276325675,3,0.0406537231795646
1948-02-24T00:00:00Z,22.086823946578,1.91322530630007,3,0.0452427447286694
1948-02-25T00:00:00Z,15.6550474236077,0.155741134888355,3,0.0269322646197388
1948-02-26T00:00:00Z,7.86409765398068,1.92455511514158,3,0.0110467594526507
1948-02-27T00:00:00Z,27.9427134996097,1.80285782903784,3,0.219638906576478
1948-02-28T00:00:00Z,25.0473845922072,0.0100606233430407,3,0.146315798231157
1948-02-29T00:00:00Z,24.9150628757125,0.440916285543647,3,0.0987713110754203
1948-03-01T00:00:00Z,19.9447995399226,0.734234609916666,3,0.0657183881803732
1948-03-02T00:00:00Z,9.22769573941624,1.02921887517611,3,0.0180421627286342
1948-03-03T00:00:00Z,4.14834791237047,1.92195978133168,3,0.00364637754180037
1948-03-04T00:00:00Z,10.1487134803225,0.0176754575938013,3,0.0213067820498181
1948-03-05T00:00:00Z,13.4406347057356,0.193286804767388,3,0.039601860503936
1948-03-06T00:00:00Z,16.3688625145054,0.395284291077981,3,0.0385469377176951
