year,amplitude,phase
1980,21.8697962939549,2.72620748721608
1981,14.226469605065,2.23795615818202
1982,16.0340775088349,2.91161067556958
1983,10.6882730292792,2.39977004901846
1984,15.8874287475109,2.64334314771949
1985,11.0022433561786,3.4896924305711
1986,14.6588121998288,2.8898957087441
1987,7.60694110458412,2.96611942377892
1988,12.8402281304302,2.37894524179299
1989,11.8199905949486,2.66376417920724
1990,14.121329068283,2.72648337733293
1991,17.2746630265941,2.96365266453824
1992,6.49587146091014,2.58888709715798
1993,10.3939068153184,2.86572308669049
1994,15.3990386931388,2.95171589973434
1995,14.8988213364055,3.05355185479568
1996,10.9543852466983,2.89159194864472
1997,7.83187010138442,2.80954026651763
1998,9.57623217074702,2.8941821609132
1999,12.1863555396128,2.73686599486861
2000,12.1260921102006,2.87588856408051
2001,16.5077109565131,2.42643024077651
2002,18.3886533640058,2.92183526229363
2003,8.6572632056039,2.94968668836547
2004,9.03677102642656,2.94708866804603
2005,12.2404077571725,3.37266407306189
2006,12.1990749189579,2.80346350696669
2007,18.0610571720444,2.76871334781157
2008,11.1508865551446,2.33451032546437
2009,12.2978649359885,2.94117443318567
2010,10.420540677041,2.78140183845815
2011,14.0342313761906,2.49413083529921
2012,14.7009924416364,3.10115874968476
2013,12.6143188359218,2.36752830615639
2014,8.37787264891756,2.82493986058553
2015,13.5367312930905,2.85867433772183
