year,amplitude,phase
1980,73.8917892941092,6.22289657903882
1981,37.2022196248944,4.45621017699351
1982,31.693361445216,0.19826794103845
1983,43.4025612806993,4.0548013487929
1984,60.6011615857828,1.20105674040757
1985,95.4611593606756,1.83035195300127
1986,26.2601238299306,1.42930009156228
1987,42.6596967559197,3.4867438646792
1988,17.1747712905688,2.71824094564248
1989,14.5874951246528,3.80715995957991
1990,26.1955004863201,0.694554455531665
1991,6.63901420224239,5.24131890483253
1992,45.7054500548297,3.26927823106917
1993,8.30874618169173,2.45599315906117
1994,28.6044573902814,4.78317098929141
1995,28.8974585632796,1.37808513233355
1996,14.8330448474579,4.83041547334375
1997,33.7135240682823,1.31854972510966
1998,35.015489121861,2.16536480233593
1999,49.5744235295563,3.76542423471867
2000,80.2236455820696,1.37245530708521
2001,33.3962518907631,5.13400687534278
2002,25.7018440391588,1.7883240790586
2003,43.2613335064111,0.46279368823043
2004,27.9508998973277,2.88125253584889
2005,52.0138110897149,1.64167163443901
2006,35.8982586231734,6.23704404513811
2007,68.1069745834583,0.537068160608063
2008,41.201157069347,4.31687552926342
2009,66.2356907097778,0.672901856710036
2010,27.729690602282,4.3305745304156
2011,28.9222936925106,5.05434491251795
2012,45.0749151751649,1.51591562740881
2013,22.867124967683,0.63436942917894
2014,41.2138933293497,0.217042797520175
2015,32.3131950758473,6.04071066945194
